expression; size; sliced on; concrete slice; concrete size; concrete time (ns) 
(let ((lchs (begin 11 20 16)) (fobk 0) (x -22) (uec -27) (hqkxww 20)) (begin (set! fobk (begin (if (< -27 hqkxww) 30 -2) (set! hqkxww (if #f (+ (* -5 -1) (/ 4 9)) (+ lchs x))) 25 (+ 18 -15))) (begin (set! hqkxww -16) 0) (set! x x) (set! hqkxww 24) (set! fobk (- -21 hqkxww)) hqkxww));55;-28;(let ((x -22) (hqkxww 20)) (begin (set! x x)));6;500
(let ((sjcwz (begin -3 -25)) (t -21) (xli -11)) (if (= t (+ (/ t xli) (* -28 sjcwz))) (if (= (- (/ -15 -29) 22) 16) (begin (set! t (- 23 -10)) (set! t -2) -25 sjcwz) (begin (set! xli xli) (/ (/ sjcwz (- t t)) 17) (set! xli xli) (- (/ (+ t -27) 4) -7))) (begin sjcwz xli (set! sjcwz xli) (set! xli (+ -30 t)) (- -25 13))));80;22;(let ((sjcwz (begin -25)) (t -21) (xli -11)) (if (= t (+ (/ t xli) (* -28 sjcwz))) (if (= (- (/ -15 -29) 22) 16) (begin (set! t -2)) '()) '()));35;300
(let* ((tid -30) (fyituo 27) (oq 7) (xqgl (if #t 8 25)) (ms 25)) (if #f (begin (set! ms (begin tid fyituo)) (set! tid (begin (set! fyituo -13) -29)) -19 xqgl (- -8 oq)) (begin (set! fyituo (* (/ oq 0) 7)) (if #t -27 fyituo) (set! tid fyituo) (set! fyituo (+ -27 fyituo)) -16)));48;11;(let* ((tid -30) (fyituo 27) (oq 7)) (if #f (begin (set! tid (begin (set! fyituo -13) -29))) (begin (set! fyituo (* (/ oq 0) 7)))));21;400
(let* ((hg -26) (vhiskx (if #t (/ 8 (begin 17 15)) 8)) (ynfnkl 27) (rcb -13) (dwemt 0) (gb -12)) (+ (begin (begin (set! ynfnkl -26) 23) (set! rcb (+ gb (if #f (* gb vhiskx) vhiskx))) 5 (set! rcb -1) ynfnkl) (- (begin 9 (set! vhiskx (- (* (* (- (+ -30 -8) (/ 16 (- 25 -13))) hg) gb) (* 28 (- 20 -11)))) (set! vhiskx 17) 2) (begin (+ (- -24 27) (+ (/ -30 -27) (/ -5 -21))) vhiskx (set! ynfnkl gb) (/ (/ hg -29) dwemt)))));100;14;(let* ((hg -26) (ynfnkl 27) (dwemt 0) (gb -12)) (+ (begin ynfnkl) (- (begin 2) (begin (set! ynfnkl gb) (/ (/ hg -29) dwemt)))));23;200
(let* ((ei -1) (lb 15) (exuk 29) (cdgb -19) (g (+ -22 -11)) (qipbi -5)) (- (begin (set! qipbi (begin (set! lb cdgb) (- (+ (* -24 (* 24 (* 11 lb))) qipbi) ei) -16)) (set! exuk exuk) cdgb (set! ei -22) -24) (begin (set! lb (* 30 g)) -4 (set! cdgb lb) qipbi)));50;25;(let* ((lb 15) (exuk 29) (g (+ -22 -11)) (qipbi -5)) (- (begin (set! exuk exuk) -24) (begin (set! lb (* 30 g)) qipbi)));21;200
(let ((rghrmy (begin (if #t -18 -19) -19 -10)) (l (begin (* 30 -16) 25 -2 -5)) (qmetka 15) (ytlauy 13) (xbvbk -20) (hy -6)) (* (begin (begin (set! ytlauy (* xbvbk (- 5 21))) (* hy -17)) (set! ytlauy (begin (set! ytlauy (* 10 xbvbk)) rghrmy)) (set! qmetka 9) (set! l 3) (+ 18 (+ (/ (/ 22 -13) xbvbk) -30))) (+ (begin ytlauy (set! hy rghrmy) (* xbvbk l)) (begin qmetka -24 qmetka))));75;26;(let ((l (dummy 1)) (qmetka 15) (xbvbk -20)) (* (begin (set! qmetka 9) (+ 18 (+ (/ (/ 22 -13) xbvbk) -30))) (+ (begin (* xbvbk l)) (begin qmetka))));33;200
(let* ((sdcyq -2) (bqux (if #t (begin (- -10 -27) 24 -27) -20)) (omlwyo -5) (udac (/ (+ 11 -29) -4)) (qbja -7) (pnoeuh -10)) (begin (set! sdcyq (begin (set! sdcyq (begin (set! omlwyo sdcyq) (+ 27 20))) (set! sdcyq 28) 13 -8)) (set! pnoeuh sdcyq) (set! udac 4) (set! omlwyo (* 25 udac)) bqux -1));48;-25;(let* ((sdcyq -2) (omlwyo -5) (udac (dummy 0)) (pnoeuh -10)) (begin (set! sdcyq (begin (set! sdcyq (begin (+ 27 20))) (set! sdcyq 28) -8)) (set! pnoeuh sdcyq) (set! udac 4)));23;300
(let* ((o (+ (letrec* ((zwf -15) (jkzqa 0)) (let* () (/ (+ 16 -7) zwf))) 28)) (kubn -18) (clr (begin 6 11 13)) (scva -3) (ukijn 7) (mm 19)) (begin (begin (set! kubn (- kubn (+ (- 28 o) (+ -19 15)))) (- o kubn) (set! kubn -7) clr) (set! o (/ (+ 12 (* (- (- -15 (* -10 (+ (/ o (+ mm mm)) kubn))) ukijn) ukijn)) 0)) (set! mm (begin (set! o (- 26 -6)) -7)) (set! mm 24) (set! ukijn 14) scva));88;21;(let* ((o (+ (letrec* ((zwf -15) (jkzqa 0)) (let* () (/ (+ 16 -7) zwf))) 28)) (kubn -18) (scva -3) (ukijn 7) (mm 19)) (begin (begin (set! kubn (- kubn (+ (- 28 o) (+ -19 15))))) (set! o (/ (+ 12 (* (- (- -15 (* -10 (+ (/ o (+ mm mm)) kubn))) ukijn) ukijn)) 0))));64;200
(let* ((svncw (begin (+ 22 8) -3 22 4)) (wlz (if #f (- (if #f 12 25) (if #f -1 -2)) 15)) (c (- -1 (* (* 26 2) (- 26 27)))) (wvde 11) (dx 30) (zcmax 13)) (begin (set! svncw (+ (* 3 -28) 27)) (set! svncw (if (< 26 10) (begin 20 10) svncw)) (set! wlz (begin (set! c (- zcmax c)) (- 27 (* 10 wlz)))) (set! c 13) (set! wlz -25) c));76;-29;(let* ((svncw (dummy 2)) (wlz (dummy 1)) (c (dummy 1)) (zcmax 13)) (begin (set! svncw (+ (* 3 -28) 27)) (set! svncw (if (< 26 10) (begin 10) svncw)) (set! wlz (begin (set! c (- zcmax c)) (- 27 (* 10 wlz)))) (set! wlz -25)));45;300
(let* ((r -17) (xugecf (/ -16 -6)) (sv 28) (to -18) (viv -8)) (begin (set! xugecf (begin (set! sv (+ (* -7 (/ (/ viv -23) (/ xugecf -19))) (* 3 (+ 8 to)))) (set! to xugecf) (* to (/ -29 (/ -18 xugecf))) (/ 11 -3))) (set! viv (if #f -9 (- (- sv (+ 28 (* to viv))) (- (* to -6) to)))) (set! to 17) (set! sv (+ (* 15 xugecf) 9)) xugecf -5));86;4;(let* ((xugecf (dummy 0)) (sv 28) (to -18) (viv -8)) (begin (set! xugecf (begin (set! sv (+ (* -7 (/ (/ viv -23) (/ xugecf -19))) (* 3 (+ 8 to)))) (set! to xugecf) (/ 11 -3))) (set! viv (if #f -9 (- (- sv (+ 28 (* to viv))) (- (* to -6) to))))));62;400
